farm_id,region,country,crop,variety,area_hectares,planting_date,harvest_date,rainfall_mm,temperature_avg,soil_ph,organic_matter,nitrogen_applied,phosphorus_applied,potassium_applied,yield_tons_per_ha,farmer_experience_years,extension_contact,mechanization_level,market_distance_km,pest_pressure,disease_pressure,soil_fertility_rating
F020,east_africa,burundi,beans,climbing_variety,0.8,2023-02-28,2023-07-15,1120,19.2,5.5,4.2,50,25,30,2.8,11,yes,low,45,medium,high,good
F021,southern_africa,botswana,sorghum,NK-283,8.5,2023-11-15,2024-04-10,385,28.5,7.5,1.4,70,25,45,2.0,20,no,medium,125,medium,low,poor
F022,west_africa,nigeria,cassava,TMS-30572,1.2,2023-03-15,2024-02-20,865,27.8,5.2,4.1,35,15,25,14.5,18,no,low,55,medium,high,good
F023,east_africa,tanzania,maize,DK-8053,3.5,2023-03-25,2023-08-10,820,24.2,6.0,3.2,125,40,65,4.9,13,yes,medium,28,low,medium,good
F024,west_africa,ghana,yam,Pona,1.0,2023-04-05,2024-01-15,1085,27.2,5.6,3.6,40,20,30,15.2,22,no,low,42,medium,medium,good
F025,southern_africa,namibia,maize,local_variety,15.2,2023-12-01,2024-05-15,285,26.8,7.8,1.1,85,25,40,1.8,15,no,high,185,high,low,poor
F026,east_africa,sudan,sorghum,local_variety,12.5,2023-05-20,2023-10-05,320,31.5,7.6,1.6,55,18,35,2.2,28,no,low,225,medium,low,poor
F027,west_africa,mali,rice,local_variety,2.8,2023-06-10,2023-11-20,485,29.8,6.8,2.1,75,20,50,3.5,16,no,low,95,medium,medium,fair
F028,east_africa,ethiopia,wheat,Kakaba,4.2,2023-02-15,2023-06-30,520,17.5,6.2,3.8,100,30,45,3.2,19,yes,medium,48,low,medium,good
F029,southern_africa,mozambique,cassava,local_variety,2.5,2023-10-20,2024-09-15,785,26.5,5.8,2.8,30,12,20,11.8,12,no,low,85,high,high,fair
F030,central_africa,chad,millet,local_variety,8.2,2023-06-25,2023-11-10,195,33.2,7.9,0.9,25,8,15,0.8,35,no,low,285,high,low,very_poor
F031,west_africa,togo,maize,local_variety,1.8,2023-04-10,2023-08-15,720,27.5,6.1,2.5,95,30,50,3.8,11,yes,low,32,medium,medium,good
F032,east_africa,somalia,sorghum,local_variety,5.5,2023-04-15,2023-08-25,185,32.8,8.1,1.2,45,15,30,1.5,25,no,low,185,high,medium,poor
F033,southern_africa,lesotho,wheat,local_variety,2.2,2023-04-20,2023-09-05,485,14.8,6.5,3.2,85,25,35,2.8,14,yes,medium,55,low,high,good
F034,west_africa,guinea,rice,local_variety,1.5,2023-05-05,2023-09-20,1485,25.8,5.1,4.2,70,18,45,4.2,9,no,low,75,medium,high,fair
F035,east_africa,djibouti,vegetables,mixed,0.5,2023-03-01,2023-07-30,125,29.5,7.8,2.1,150,50,80,8.5,12,yes,high,15,low,low,good
F036,southern_africa,swaziland,sugarcane,local_variety,8.8,2023-02-15,2024-08-30,850,22.5,6.2,2.8,120,35,90,85.2,20,yes,high,25,medium,medium,excellent
F037,west_africa,benin,maize,local_variety,2.8,2023-04-25,2023-09-10,985,27.2,6.3,3.1,105,35,55,4.2,16,no,medium,48,medium,medium,good
F038,east_africa,eritrea,sorghum,local_variety,6.2,2023-05-15,2023-10-20,285,28.5,7.2,1.5,50,18,35,1.8,22,no,low,155,medium,low,poor
F039,central_africa,car,cassava,local_variety,1.8,2023-03-20,2024-02-25,1285,25.8,4.9,4.8,25,10,18,10.5,15,no,low,125,high,high,fair
F040,west_africa,sierra_leone,rice,local_variety,2.2,2023-05-01,2023-09-15,1680,26.2,4.8,4.5,65,15,40,3.8,13,no,low,85,high,high,fair
